Timestamp,,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.03,0.887636223,0.241916859,-3.65460038,1.34539962
0.03,0.840083864,0.242494226,-6.569556725,-1.569556725
0.03,0.888587449,0.243071594,-3.344930065,1.655069935
0.03,0.886184038,0.243648961,-5.72881002,-0.72881002
0.03,0.921021576,0.244226328,-2.889593935,2.110406065
0.03,0.848182704,0.244803695,-4.741055645,0.258944355
0.03,0.844219759,0.245381062,-2.96578148,2.03421852
0.03,0.850982709,0.24595843,-1.327078335,3.672921665
0.03,0.786093583,0.246535797,-5.09008704,-0.09008704
0.03,0.827455518,0.247113164,-2.08075356,2.91924644
0.03,0.786376863,0.247690531,-5.35219605,-0.35219605
0.03,0.800284445,0.248267898,-2.679668175,2.320331825
0.03,0.722498601,0.248845266,-3.39636784,1.60363216
0.03,0.728533967,0.249422633,-3.42648503,1.57351497
0.03,0.670688089,0.25,-4.05894602,0.94105398
0.03,0.661629077,0.250577367,-4.434814515,0.565185485
0.03,0.685031028,0.251154734,-5.915924245,-0.915924245
0.03,0.688639127,0.251732102,-6.843593335,-1.843593335
0.03,0.739480522,0.252309469,-5.48876707,-0.48876707
0.03,0.767552128,0.252886836,-3.414110145,1.585889855
0.03,0.71180849,0.253464203,-4.01839218,0.98160782
0.03,0.741892879,0.25404157,-7.679718095,-2.679718095
0.03,0.777380471,0.254618938,-5.378287675,-0.378287675
0.03,0.743974245,0.255196305,-4.548424905,0.451575095
0.03,0.775603258,0.255773672,-3.402480735,1.597519265
0.03,0.728629388,0.256351039,-3.36803979,1.63196021
0.03,0.720867502,0.256928406,-3.066718795,1.933281205
0.03,0.672769455,0.257505774,-3.84305646,1.15694354
0.03,0.651717241,0.258083141,-4.738670125,0.261329875
0.03,0.676118129,0.258660508,-3.479115565,1.520884435
0.03,0.652355368,0.259237875,-5.19027888,-0.19027888
0.03,0.694444886,0.259815242,-3.23713438,1.76286562
0.03,0.650163671,0.26039261,-5.06802098,-0.06802098
0.03,0.662323859,0.260969977,-2.994258625,2.005741375
0.03,0.665126845,0.261547344,-1.860540245,3.139459755
0.03,0.610045189,0.262124711,-2.25370376,2.74629624
0.03,0.536839544,0.262702079,-4.834090925,0.165909075
0.03,0.551835519,0.263279446,-3.989616845,1.010383155
0.03,0.555867047,0.263856813,-5.71598785,-0.71598785
0.03,0.589133124,0.26443418,-2.95295931,2.04704069
0.03,0.586986156,0.265011547,-3.2723208,1.7276792
0.03,0.554391007,0.265588915,-5.265273665,-0.265273665
0.03,0.55108408,0.266166282,-3.4840357,1.5159643
0.03,0.520898306,0.266743649,-3.01617559,1.98382441
0.03,0.493056306,0.267321016,-2.87185163,2.12814837
0.03,0.468366174,0.267898383,-3.93579355,1.06420645
0.03,0.44922834,0.268475751,-4.768190935,0.231809065
0.03,0.437464744,0.269053118,-5.75087608,-0.75087608
0.03,0.463231342,0.269630485,-2.88348104,2.11651896
0.03,0.419743312,0.270207852,-5.347574105,-0.347574105
0.03,0.44522663,0.270785219,-6.032218345,-1.032218345
0.03,0.47057278,0.271362587,-4.144377455,0.855622545
0.03,0.478245209,0.271939954,-3.465100635,1.534899365
